hash,lb_veripb_exitcode,lb_veripb_result,lb_veripb_CPUTIME,lb_veripb_MAXVM,lb_veripb_HOSTNAME,lb_veripb_SLURM_ARRAY_TASK_ID,lb_veripb_out,lb_veripb_var,lb_veripb_wat
009f795766e470b1e3f38815240eeae3,0,solved,195.407,494576,kale-816.local.cs.helsinki.fi,1,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/009f795766e470b1e3f38815240eeae3.lb.veripb.out,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/009f795766e470b1e3f38815240eeae3.lb.veripb.var,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/009f795766e470b1e3f38815240eeae3.lb.veripb.wat
01e6ba61c8ac436a870013cbc0373579,0,solved,345.213,1665952,kale-804.local.cs.helsinki.fi,3,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/01e6ba61c8ac436a870013cbc0373579.lb.veripb.out,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/01e6ba61c8ac436a870013cbc0373579.lb.veripb.var,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/01e6ba61c8ac436a870013cbc0373579.lb.veripb.wat
02ffa741b87530c365a78bbd51d2d317,0,solved,9.36098,79720,kale-806.local.cs.helsinki.fi,6,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/02ffa741b87530c365a78bbd51d2d317.lb.veripb.out,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/02ffa741b87530c365a78bbd51d2d317.lb.veripb.var,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/02ffa741b87530c365a78bbd51d2d317.lb.veripb.wat
031398e89f8c691036f2483ee8d0741e,0,solved,128.675,1014920,kale-811.local.cs.helsinki.fi,7,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/031398e89f8c691036f2483ee8d0741e.lb.veripb.out,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/031398e89f8c691036f2483ee8d0741e.lb.veripb.var,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/031398e89f8c691036f2483ee8d0741e.lb.veripb.wat
070cfcf28df41a2d25853d2b6e6410bf,0,solved,1447.08,3208008,kale-806.local.cs.helsinki.fi,12,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/070cfcf28df41a2d25853d2b6e6410bf.lb.veripb.out,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/070cfcf28df41a2d25853d2b6e6410bf.lb.veripb.var,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/070cfcf28df41a2d25853d2b6e6410bf.lb.veripb.wat
075752eba5c0f4ec5abacca1cf7877a6,0,solved,474.979,493892,kale-816.local.cs.helsinki.fi,13,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/075752eba5c0f4ec5abacca1cf7877a6.lb.veripb.out,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/075752eba5c0f4ec5abacca1cf7877a6.lb.veripb.var,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/075752eba5c0f4ec5abacca1cf7877a6.lb.veripb.wat
07bf0e9791e8c94100b3f44ea0c00f44,0,solved,586.012,559696,kale-810.local.cs.helsinki.fi,16,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/07bf0e9791e8c94100b3f44ea0c00f44.lb.veripb.out,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/07bf0e9791e8c94100b3f44ea0c00f44.lb.veripb.var,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/07bf0e9791e8c94100b3f44ea0c00f44.lb.veripb.wat
08713e4014212cfb4b5f38af643a7a55,0,solved,2131.1,5071412,kale-811.local.cs.helsinki.fi,19,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/08713e4014212cfb4b5f38af643a7a55.lb.veripb.out,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/08713e4014212cfb4b5f38af643a7a55.lb.veripb.var,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/08713e4014212cfb4b5f38af643a7a55.lb.veripb.wat
0a92f0b6321097b10c84e4cd4c64c66f,0,solved,4380.14,1316680,kale-804.local.cs.helsinki.fi,21,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/0a92f0b6321097b10c84e4cd4c64c66f.lb.veripb.out,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/0a92f0b6321097b10c84e4cd4c64c66f.lb.veripb.var,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/0a92f0b6321097b10c84e4cd4c64c66f.lb.veripb.wat
0bc6c5e6674f0cd4aa4c3bf1cf2ebc70,0,solved,1221.74,977880,kale-806.local.cs.helsinki.fi,23,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/0bc6c5e6674f0cd4aa4c3bf1cf2ebc70.lb.veripb.out,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/0bc6c5e6674f0cd4aa4c3bf1cf2ebc70.lb.veripb.var,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/0bc6c5e6674f0cd4aa4c3bf1cf2ebc70.lb.veripb.wat
0ec932de353de4de3bc67c4caec08bb9,0,solved,1.09079,56656,kale-816.local.cs.helsinki.fi,25,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/0ec932de353de4de3bc67c4caec08bb9.lb.veripb.out,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/0ec932de353de4de3bc67c4caec08bb9.lb.veripb.var,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/0ec932de353de4de3bc67c4caec08bb9.lb.veripb.wat
1194882463ab07878f54451af45aebb0,0,solved,0.238958,51464,kale-816.local.cs.helsinki.fi,29,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/1194882463ab07878f54451af45aebb0.lb.veripb.out,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/1194882463ab07878f54451af45aebb0.lb.veripb.var,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/1194882463ab07878f54451af45aebb0.lb.veripb.wat
13d31acb79375c7fddc4c7dcfb2dacf9,0,solved,2936.22,4795340,kale-810.local.cs.helsinki.fi,32,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/13d31acb79375c7fddc4c7dcfb2dacf9.lb.veripb.out,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/13d31acb79375c7fddc4c7dcfb2dacf9.lb.veripb.var,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/13d31acb79375c7fddc4c7dcfb2dacf9.lb.veripb.wat
14ebdfdede4d00ddb39afd0ec2e96272,0,solved,94.7359,824168,kale-816.local.cs.helsinki.fi,34,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/14ebdfdede4d00ddb39afd0ec2e96272.lb.veripb.out,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/14ebdfdede4d00ddb39afd0ec2e96272.lb.veripb.var,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/14ebdfdede4d00ddb39afd0ec2e96272.lb.veripb.wat
1502e8556290e5b1a5275e952c42a374,0,solved,2166.1,4963696,kale-814.local.cs.helsinki.fi,35,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/1502e8556290e5b1a5275e952c42a374.lb.veripb.out,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/1502e8556290e5b1a5275e952c42a374.lb.veripb.var,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/1502e8556290e5b1a5275e952c42a374.lb.veripb.wat
15a1564a23052f58fe69c22d70ea7bbb,0,solved,0.171262,50016,kale-816.local.cs.helsinki.fi,37,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/15a1564a23052f58fe69c22d70ea7bbb.lb.veripb.out,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/15a1564a23052f58fe69c22d70ea7bbb.lb.veripb.var,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/15a1564a23052f58fe69c22d70ea7bbb.lb.veripb.wat
1a06f0b7ebad371fb7912f623052846a,0,solved,0.334367,51760,kale-816.local.cs.helsinki.fi,39,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/1a06f0b7ebad371fb7912f623052846a.lb.veripb.out,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/1a06f0b7ebad371fb7912f623052846a.lb.veripb.var,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/1a06f0b7ebad371fb7912f623052846a.lb.veripb.wat
1a4e608b8d8a1f0420d16d02d70b05a0,0,solved,1910.68,10422636,kale-810.local.cs.helsinki.fi,40,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/1a4e608b8d8a1f0420d16d02d70b05a0.lb.veripb.out,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/1a4e608b8d8a1f0420d16d02d70b05a0.lb.veripb.var,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/1a4e608b8d8a1f0420d16d02d70b05a0.lb.veripb.wat
1ac6f6094567599c439191c482f9cc53,signal 15 (SIGTERM),timeout,36000.1,10831848,kale-812.local.cs.helsinki.fi,41,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/1ac6f6094567599c439191c482f9cc53.lb.veripb.out,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/1ac6f6094567599c439191c482f9cc53.lb.veripb.var,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/1ac6f6094567599c439191c482f9cc53.lb.veripb.wat
1c124d4903de29a6242f36f2c4da3c2d,0,solved,3071.43,4675284,kale-816.local.cs.helsinki.fi,43,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/1c124d4903de29a6242f36f2c4da3c2d.lb.veripb.out,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/1c124d4903de29a6242f36f2c4da3c2d.lb.veripb.var,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/1c124d4903de29a6242f36f2c4da3c2d.lb.veripb.wat
1e04f43b625e01ddaa9fe813d5b6f10f,0,solved,0.398863,53056,kale-809.local.cs.helsinki.fi,45,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/1e04f43b625e01ddaa9fe813d5b6f10f.lb.veripb.out,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/1e04f43b625e01ddaa9fe813d5b6f10f.lb.veripb.var,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/1e04f43b625e01ddaa9fe813d5b6f10f.lb.veripb.wat
1f5afe9be95089df7bf99eef7ace7ac6,0,solved,5.61904,71596,kale-804.local.cs.helsinki.fi,48,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/1f5afe9be95089df7bf99eef7ace7ac6.lb.veripb.out,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/1f5afe9be95089df7bf99eef7ace7ac6.lb.veripb.var,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/1f5afe9be95089df7bf99eef7ace7ac6.lb.veripb.wat
20c17f3f8d8298cefb98e79cdd4d9a29,0,solved,3.70228,63160,kale-804.local.cs.helsinki.fi,50,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/20c17f3f8d8298cefb98e79cdd4d9a29.lb.veripb.out,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/20c17f3f8d8298cefb98e79cdd4d9a29.lb.veripb.var,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/20c17f3f8d8298cefb98e79cdd4d9a29.lb.veripb.wat
24234fdf05503b95e9e10f24fc73f0ae,0,solved,26860.1,7499300,kale-809.local.cs.helsinki.fi,55,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/24234fdf05503b95e9e10f24fc73f0ae.lb.veripb.out,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/24234fdf05503b95e9e10f24fc73f0ae.lb.veripb.var,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/24234fdf05503b95e9e10f24fc73f0ae.lb.veripb.wat
268eb33adb274db95ef66bf91c67fedb,0,solved,13363.8,9334660,kale-804.local.cs.helsinki.fi,56,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/268eb33adb274db95ef66bf91c67fedb.lb.veripb.out,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/268eb33adb274db95ef66bf91c67fedb.lb.veripb.var,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/268eb33adb274db95ef66bf91c67fedb.lb.veripb.wat
27f27886984b4ddc53c1fa3ada3481db,0,solved,1880.55,7111820,kale-804.local.cs.helsinki.fi,57,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/27f27886984b4ddc53c1fa3ada3481db.lb.veripb.out,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/27f27886984b4ddc53c1fa3ada3481db.lb.veripb.var,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/27f27886984b4ddc53c1fa3ada3481db.lb.veripb.wat
319e8a16af47df2e7afe67b58ab7546d,0,solved,0.911209,56284,kale-817.local.cs.helsinki.fi,66,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/319e8a16af47df2e7afe67b58ab7546d.lb.veripb.out,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/319e8a16af47df2e7afe67b58ab7546d.lb.veripb.var,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/319e8a16af47df2e7afe67b58ab7546d.lb.veripb.wat
31e4ff66d1ebe5140fecb150d6ae30c4,0,solved,449.622,2350824,kale-803.local.cs.helsinki.fi,69,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/31e4ff66d1ebe5140fecb150d6ae30c4.lb.veripb.out,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/31e4ff66d1ebe5140fecb150d6ae30c4.lb.veripb.var,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/31e4ff66d1ebe5140fecb150d6ae30c4.lb.veripb.wat
32fe4527cc9d2c943f03b2ae19ba0611,0,solved,14.472,171048,kale-810.local.cs.helsinki.fi,71,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/32fe4527cc9d2c943f03b2ae19ba0611.lb.veripb.out,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/32fe4527cc9d2c943f03b2ae19ba0611.lb.veripb.var,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/32fe4527cc9d2c943f03b2ae19ba0611.lb.veripb.wat
3318c7296eb4e2daf1600b4a995439ee,0,solved,112.45,970056,kale-811.local.cs.helsinki.fi,72,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/3318c7296eb4e2daf1600b4a995439ee.lb.veripb.out,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/3318c7296eb4e2daf1600b4a995439ee.lb.veripb.var,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/3318c7296eb4e2daf1600b4a995439ee.lb.veripb.wat
33f201196e385a5d35742218beb883fa,0,solved,0.728569,55984,kale-810.local.cs.helsinki.fi,74,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/33f201196e385a5d35742218beb883fa.lb.veripb.out,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/33f201196e385a5d35742218beb883fa.lb.veripb.var,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/33f201196e385a5d35742218beb883fa.lb.veripb.wat
3435234134749262bd452fff55ca0570,0,solved,126.599,1018728,kale-817.local.cs.helsinki.fi,75,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/3435234134749262bd452fff55ca0570.lb.veripb.out,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/3435234134749262bd452fff55ca0570.lb.veripb.var,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/3435234134749262bd452fff55ca0570.lb.veripb.wat
3773725af3add28ceac9a27e0d24b2c9,0,solved,3938.34,9376240,kale-806.local.cs.helsinki.fi,81,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/3773725af3add28ceac9a27e0d24b2c9.lb.veripb.out,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/3773725af3add28ceac9a27e0d24b2c9.lb.veripb.var,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/3773725af3add28ceac9a27e0d24b2c9.lb.veripb.wat
3a24598408dda4cef696c5358399e8a4,0,solved,195.006,440192,kale-813.local.cs.helsinki.fi,84,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/3a24598408dda4cef696c5358399e8a4.lb.veripb.out,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/3a24598408dda4cef696c5358399e8a4.lb.veripb.var,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/3a24598408dda4cef696c5358399e8a4.lb.veripb.wat
401891b1d8264e88f74cf81d62ea14ce,0,solved,2832.37,1546752,kale-810.local.cs.helsinki.fi,94,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/401891b1d8264e88f74cf81d62ea14ce.lb.veripb.out,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/401891b1d8264e88f74cf81d62ea14ce.lb.veripb.var,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/401891b1d8264e88f74cf81d62ea14ce.lb.veripb.wat
4676f13c9e1e1b325c39ea5aa85471fa,0,solved,1675.1,4716184,kale-811.local.cs.helsinki.fi,97,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/4676f13c9e1e1b325c39ea5aa85471fa.lb.veripb.out,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/4676f13c9e1e1b325c39ea5aa85471fa.lb.veripb.var,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/4676f13c9e1e1b325c39ea5aa85471fa.lb.veripb.wat
4f6237dc32086b905e38df19c02b2497,0,solved,107.499,779272,kale-806.local.cs.helsinki.fi,103,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/4f6237dc32086b905e38df19c02b2497.lb.veripb.out,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/4f6237dc32086b905e38df19c02b2497.lb.veripb.var,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/4f6237dc32086b905e38df19c02b2497.lb.veripb.wat
554a2c6a5f81f5b3501b7c385ca2eb43,0,solved,4592.11,7441604,kale-817.local.cs.helsinki.fi,109,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/554a2c6a5f81f5b3501b7c385ca2eb43.lb.veripb.out,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/554a2c6a5f81f5b3501b7c385ca2eb43.lb.veripb.var,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/554a2c6a5f81f5b3501b7c385ca2eb43.lb.veripb.wat
561c2ec775532b9a5786aff5b9def233,0,solved,3879.61,8484364,kale-816.local.cs.helsinki.fi,112,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/561c2ec775532b9a5786aff5b9def233.lb.veripb.out,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/561c2ec775532b9a5786aff5b9def233.lb.veripb.var,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/561c2ec775532b9a5786aff5b9def233.lb.veripb.wat
56420940142bb6f7f7569aea6114f96c,0,solved,5.94676,72608,kale-804.local.cs.helsinki.fi,113,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/56420940142bb6f7f7569aea6114f96c.lb.veripb.out,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/56420940142bb6f7f7569aea6114f96c.lb.veripb.var,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/56420940142bb6f7f7569aea6114f96c.lb.veripb.wat
56a79fa943d1f1e40c2fbb9722dbc407,0,solved,5757.38,9065268,kale-812.local.cs.helsinki.fi,114,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/56a79fa943d1f1e40c2fbb9722dbc407.lb.veripb.out,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/56a79fa943d1f1e40c2fbb9722dbc407.lb.veripb.var,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/56a79fa943d1f1e40c2fbb9722dbc407.lb.veripb.wat
579a16a81adc704de38e7a8e5f265d24,0,solved,814.316,3391584,kale-804.local.cs.helsinki.fi,116,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/579a16a81adc704de38e7a8e5f265d24.lb.veripb.out,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/579a16a81adc704de38e7a8e5f265d24.lb.veripb.var,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/579a16a81adc704de38e7a8e5f265d24.lb.veripb.wat
5a1eb585ce69f117a69ed97d19588f26,0,solved,1662.68,5865964,kale-806.local.cs.helsinki.fi,121,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/5a1eb585ce69f117a69ed97d19588f26.lb.veripb.out,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/5a1eb585ce69f117a69ed97d19588f26.lb.veripb.var,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/5a1eb585ce69f117a69ed97d19588f26.lb.veripb.wat
61755b78779543d662b98e52fb365aad,0,solved,142.296,1036504,kale-809.local.cs.helsinki.fi,134,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/61755b78779543d662b98e52fb365aad.lb.veripb.out,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/61755b78779543d662b98e52fb365aad.lb.veripb.var,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/61755b78779543d662b98e52fb365aad.lb.veripb.wat
651a2c3f5586e3bd58287bd516c68762,0,solved,4641.24,7168788,kale-808.local.cs.helsinki.fi,138,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/651a2c3f5586e3bd58287bd516c68762.lb.veripb.out,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/651a2c3f5586e3bd58287bd516c68762.lb.veripb.var,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/651a2c3f5586e3bd58287bd516c68762.lb.veripb.wat
65ee49aca2f915006d1ee312da07bb4e,0,solved,0.230168,52428,kale-813.local.cs.helsinki.fi,139,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/65ee49aca2f915006d1ee312da07bb4e.lb.veripb.out,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/65ee49aca2f915006d1ee312da07bb4e.lb.veripb.var,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/65ee49aca2f915006d1ee312da07bb4e.lb.veripb.wat
66df4b4dfbcebeedae549fdb11380b9e,0,solved,47.1909,179508,kale-813.local.cs.helsinki.fi,140,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/66df4b4dfbcebeedae549fdb11380b9e.lb.veripb.out,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/66df4b4dfbcebeedae549fdb11380b9e.lb.veripb.var,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/66df4b4dfbcebeedae549fdb11380b9e.lb.veripb.wat
6cd6fadd2059109232e5261dcadbc5b4,0,solved,273.333,1806116,kale-809.local.cs.helsinki.fi,146,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/6cd6fadd2059109232e5261dcadbc5b4.lb.veripb.out,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/6cd6fadd2059109232e5261dcadbc5b4.lb.veripb.var,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/6cd6fadd2059109232e5261dcadbc5b4.lb.veripb.wat
6e306917c770ef1e82acf83e832bd7b6,0,solved,138.398,912380,kale-813.local.cs.helsinki.fi,150,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/6e306917c770ef1e82acf83e832bd7b6.lb.veripb.out,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/6e306917c770ef1e82acf83e832bd7b6.lb.veripb.var,/wrk-kappa/users/chrisjab/gbd-experiments/mo-proofs-reruns/results/6e306917c770ef1e82acf83e832bd7b6.lb.veripb.wat
